dataset,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count
ag_news,16,64,500,2000,415,20260830,adaptive_001,adaptive,adaptive,0.001,0.5045,0.479332605538338,1.3854605935591247,0.004890980000027412,31,0
ag_news,16,64,500,2000,415,20260830,optimal_builtin,optimal,optimal,0.001,0.517,0.5147963068284684,1.898543729996403,0.00452792999999474,9,0
ag_news,16,64,500,2000,415,20260830,constant_01,constant,constant,0.01,0.524,0.5114516083421835,1.224957135214519,0.006922753000026205,175,0
ag_news,16,64,500,2000,415,20260830,adaptive_01,adaptive,adaptive,0.01,0.524,0.5114516083421835,1.2242391524179361,0.006842829000106576,205,0
ag_news,16,64,500,2000,509,20260830,constant_001,constant,constant,0.001,0.5395,0.5241425198156373,1.3856240885054143,0.004451703000086127,6,0
ag_news,16,64,500,2000,509,20260830,invscaling_001,invscaling,invscaling,0.001,0.5095,0.5071635244153934,1.3862307251903851,0.004441009999936796,6,0
ag_news,16,64,500,2000,509,20260830,adaptive_001,adaptive,adaptive,0.001,0.5395,0.5241425198156373,1.3854840676402045,0.004701495000063005,31,0
ag_news,16,64,500,2000,509,20260830,optimal_builtin,optimal,optimal,0.001,0.495,0.492695384914421,1.9839248414843824,0.004488580999804981,10,0
ag_news,16,64,500,2000,509,20260830,constant_01,constant,constant,0.01,0.546,0.5408183463711109,1.2300991267691739,0.0065969229999609524,169,0
ag_news,16,64,500,2000,509,20260830,adaptive_01,adaptive,adaptive,0.01,0.546,0.5408183463711109,1.2293566578387685,0.0075772360000883054,199,0
ag_news,32,128,500,2000,14,20260830,constant_001,constant,constant,0.001,0.642,0.6399068734030186,1.3851666895498478,0.006816415999992387,6,0
ag_news,32,128,500,2000,14,20260830,invscaling_001,invscaling,invscaling,0.001,0.626,0.6227672028353802,1.3862157049609545,0.006754610000143657,6,0
ag_news,32,128,500,2000,14,20260830,adaptive_001,adaptive,adaptive,0.001,0.6425,0.6403982949214297,1.384930547416609,0.007602276000170605,31,0
ag_news,32,128,500,2000,14,20260830,optimal_builtin,optimal,optimal,0.001,0.6075,0.6064392776745207,1.3399065813526412,0.007035215000087192,9,0
ag_news,32,128,500,2000,14,20260830,constant_01,constant,constant,0.01,0.6455,0.6445285857850918,1.1290883801065354,0.011876098000129787,167,0
ag_news,32,128,500,2000,14,20260830,adaptive_01,adaptive,adaptive,0.01,0.6455,0.6445394031809044,1.127889924652622,0.012837248999858275,197,0
ag_news,32,128,500,2000,52,20260830,constant_001,constant,constant,0.001,0.589,0.5801086792315594,1.3851731092967972,0.006726825999976427,6,0
ag_news,32,128,500,2000,52,20260830,invscaling_001,invscaling,invscaling,0.001,0.574,0.5633181308616776,1.386217510982421,0.006743561999883241,6,0
ag_news,32,128,500,2000,52,20260830,adaptive_001,adaptive,adaptive,0.001,0.589,0.5800456143566541,1.3849384113954328,0.00747270099986963,31,0
ag_news,32,128,500,2000,52,20260830,optimal_builtin,optimal,optimal,0.001,0.5895,0.5888089996182455,1.4046334189865979,0.006952682000019195,10,0
ag_news,32,128,500,2000,52,20260830,constant_01,constant,constant,0.01,0.6185,0.6155247732907934,1.1375394250249429,0.011453824000000168,169,0
ag_news,32,128,500,2000,52,20260830,adaptive_01,adaptive,adaptive,0.01,0.619,0.6160247487613767,1.1364401467570593,0.012340228000084608,199,0
ag_news,32,128,500,2000,88,20260830,constant_001,constant,constant,0.001,0.6145,0.6073851281930128,1.3851915487959612,0.006510638000008839,6,0
ag_news,32,128,500,2000,88,20260830,invscaling_001,invscaling,invscaling,0.001,0.5705,0.5639399521472339,1.3862166097284043,0.0067121069998847815,6,0
ag_news,32,128,500,2000,88,20260830,adaptive_001,adaptive,adaptive,0.001,0.6145,0.6073534801258713,1.3849606869766578,0.007234251999989283,31,0
ag_news,32,128,500,2000,88,20260830,optimal_builtin,optimal,optimal,0.001,0.6125,0.6070479298648453,1.4862296245267692,0.006583642000123291,9,0
ag_news,32,128,500,2000,88,20260830,constant_01,constant,constant,0.01,0.6335,0.6288950417834427,1.1341250491058812,0.011693122999986372,168,0
ag_news,32,128,500,2000,88,20260830,adaptive_01,adaptive,adaptive,0.01,0.6335,0.6288950417834427,1.1330032062034259,0.012172928999916621,198,0
ag_news,32,128,500,2000,121,20260830,constant_001,constant,constant,0.001,0.597,0.5889173319559781,1.3853109729895072,0.006884543000069243,6,0
ag_news,32,128,500,2000,121,20260830,invscaling_001,invscaling,invscaling,0.001,0.5455,0.5392268471417292,1.386225611860131,0.007104737999952704,6,0
ag_news,32,128,500,2000,121,20260830,adaptive_001,adaptive,adaptive,0.001,0.597,0.5889173319559781,1.385105101415393,0.007794762000003175,31,0
ag_news,32,128,500,2000,121,20260830,optimal_builtin,optimal,optimal,0.001,0.5785,0.5763661907849666,1.5511406066054318,0.007031372999790619,11,0
ag_news,32,128,500,2000,121,20260830,constant_01,constant,constant,0.01,0.6145,0.6101796094526777,1.1612782952648018,0.011851736999915374,165,0
ag_news,32,128,500,2000,121,20260830,adaptive_01,adaptive,adaptive,0.01,0.614,0.6095597095402312,1.1602510447256495,0.012758835999875373,195,0
ag_news,32,128,500,2000,169,20260830,constant_001,constant,constant,0.001,0.6155,0.6068113173835394,1.3850786053514916,0.0069136360000356945,6,0
ag_news,32,128,500,2000,169,20260830,invscaling_001,invscaling,invscaling,0.001,0.598,0.5855618425236842,1.3862086524732609,0.0066560989998833975,6,0
