dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,4,12,166,121,invscaling_0003,invscaling,invscaling,0.0003,0.8493975903614458,0.8502915232320322,1.0937741751082661,0.0012912130041513592,7,0,PASS
wine,178,13,3,4,12,166,121,invscaling_001,invscaling,invscaling,0.001,0.8493975903614458,0.8502915232320322,1.0756657282787319,0.0011790589996962808,15,0,PASS
wine,178,13,3,4,12,166,121,invscaling_003,invscaling,invscaling,0.003,0.8493975903614458,0.8502915232320322,0.9812086195355912,0.0012358070016489364,55,0,PASS
wine,178,13,3,4,12,166,121,adaptive_0003,adaptive,adaptive,0.0003,0.8614457831325302,0.8631531531531532,0.7618776428054942,0.0014935729996068403,197,0,PASS
wine,178,13,3,4,12,166,121,adaptive_001,adaptive,adaptive,0.001,0.8674698795180723,0.8699624060150377,0.564321621880407,0.001401346002239734,181,0,PASS
wine,178,13,3,4,12,166,121,adaptive_003,adaptive,adaptive,0.003,0.8554216867469879,0.8571669071669071,0.4548602088818809,0.0013841710024280474,142,0,PASS
wine,178,13,3,4,12,166,169,constant_0003,constant,constant,0.0003,0.8855421686746988,0.8868856759823035,0.7522628832089202,0.0013687379978364334,183,0,PASS
wine,178,13,3,4,12,166,169,constant_001,constant,constant,0.001,0.891566265060241,0.8927174851454979,0.5694138782222322,0.0013519099957193248,161,0,PASS
wine,178,13,3,4,12,166,169,constant_003,constant,constant,0.003,0.9036144578313253,0.9047892720306513,0.4693253585406906,0.0013222330017015338,113,0,PASS
wine,178,13,3,4,12,166,169,invscaling_0003,invscaling,invscaling,0.0003,0.8795180722891566,0.8810428057326537,1.0938917914656228,0.00114263899740763,7,0,PASS
wine,178,13,3,4,12,166,169,invscaling_001,invscaling,invscaling,0.001,0.8614457831325302,0.8622209117565154,1.0737554978489443,0.0012048179996781982,21,0,PASS
wine,178,13,3,4,12,166,169,invscaling_003,invscaling,invscaling,0.003,0.8734939759036144,0.8746168251052614,0.9744387250567125,0.0012764209968736395,70,0,PASS
wine,178,13,3,4,12,166,169,adaptive_0003,adaptive,adaptive,0.0003,0.8855421686746988,0.8868856759823035,0.7509754900911404,0.0014491199981421232,203,0,PASS
wine,178,13,3,4,12,166,169,adaptive_001,adaptive,adaptive,0.001,0.891566265060241,0.8927174851454979,0.5680457996977754,0.001364578005450312,186,0,PASS
wine,178,13,3,4,12,166,169,adaptive_003,adaptive,adaptive,0.003,0.9036144578313253,0.9047892720306513,0.4678837731773592,0.0013455739972414449,138,0,PASS
wine,178,13,3,4,12,166,203,constant_0003,constant,constant,0.0003,0.9216867469879518,0.9244844901668895,0.744032541600104,0.001476117002312094,176,0,PASS
wine,178,13,3,4,12,166,203,constant_001,constant,constant,0.001,0.9578313253012049,0.958942379166167,0.5055280386610501,0.0013596569988294505,163,0,PASS
wine,178,13,3,4,12,166,203,constant_003,constant,constant,0.003,0.9698795180722891,0.9716388785743647,0.3661567555189838,0.0015426480022142641,122,0,PASS
wine,178,13,3,4,12,166,203,invscaling_0003,invscaling,invscaling,0.0003,0.9036144578313253,0.9075226210179156,1.0935634233514029,0.0011551589996088296,7,0,PASS
wine,178,13,3,4,12,166,203,invscaling_001,invscaling,invscaling,0.001,0.891566265060241,0.8951243628120374,1.0734452568211788,0.0012207019972265698,19,0,PASS
wine,178,13,3,4,12,166,203,invscaling_003,invscaling,invscaling,0.003,0.8975903614457831,0.900858919367645,0.9734745432715863,0.0013184009949327447,64,0,PASS
wine,178,13,3,4,12,166,203,adaptive_0003,adaptive,adaptive,0.0003,0.9216867469879518,0.9244844901668895,0.7424154030967667,0.0014059640016057529,196,0,PASS
wine,178,13,3,4,12,166,203,adaptive_001,adaptive,adaptive,0.001,0.9578313253012049,0.958942379166167,0.5038987525846012,0.0013782710011582822,188,0,PASS
wine,178,13,3,4,12,166,203,adaptive_003,adaptive,adaptive,0.003,0.9698795180722891,0.9716388785743647,0.36452209153659854,0.001398569998855237,147,0,PASS
wine,178,13,3,4,12,166,247,constant_0003,constant,constant,0.0003,0.8674698795180723,0.8734355948629241,0.7514029129303529,0.0013783350004814565,174,0,PASS
wine,178,13,3,4,12,166,247,constant_001,constant,constant,0.001,0.8614457831325302,0.8647408504445576,0.5739405437521495,0.001328397003817372,155,0,PASS
wine,178,13,3,4,12,166,247,constant_003,constant,constant,0.003,0.8674698795180723,0.8714797747055812,0.48402007032998823,0.0013936270042904653,113,0,PASS
