dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,32,constant_001_minus_adaptive_01,constant_001,adaptive_01,10,-0.029603278488212103,0.024105280219784014,-3.8835386013967312,0.0037113247400603322,scipy.stats.ttest_1samp_on_seed_deltas,0.08873216522285239,False
ag_news,16,invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.030730476971706683,0.025119247964306618,-3.868678749938417,0.003796417436313191,scipy.stats.ttest_1samp_on_seed_deltas,0.08873216522285239,False
ag_news,16,constant_001_minus_invscaling_001,constant_001,invscaling_001,10,0.02444054454346282,0.02074685438186129,3.725277412643065,0.0047318683259757926,scipy.stats.ttest_1samp_on_seed_deltas,0.09463736651951585,False
ag_news,16,invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,-0.024350091328219154,0.020796441877840514,-3.7026405902798123,0.004900484800054678,scipy.stats.ttest_1samp_on_seed_deltas,0.09463736651951585,False
ag_news,16,optimal_builtin_minus_adaptive_01,optimal_builtin,adaptive_01,10,-0.013631303158879787,0.015146972383083962,-2.8458469698174578,0.019218947249559314,scipy.stats.ttest_1samp_on_seed_deltas,0.34594105049206764,False
ag_news,16,optimal_builtin_minus_constant_01,optimal_builtin,constant_01,10,-0.01350300882997631,0.015152204520946243,-2.8180891505960117,0.020109651521736594,scipy.stats.ttest_1samp_on_seed_deltas,0.34594105049206764,False
ag_news,128,invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,-0.01842468723512517,0.02307563035654308,-2.524913770024277,0.03250551507358614,scipy.stats.ttest_1samp_on_seed_deltas,0.5200882411773783,False
ag_news,128,constant_001_minus_invscaling_001,constant_001,invscaling_001,10,0.018075792621068554,0.023322753090933873,2.4508545355934537,0.03670522818466358,scipy.stats.ttest_1samp_on_seed_deltas,0.5505784227699537,False
ag_news,64,constant_01_minus_adaptive_01,constant_01,adaptive_01,10,-0.00015389088829053098,0.00025378882842107324,-1.9175222218103172,0.08740267208011865,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,constant_001_minus_adaptive_001,constant_001,adaptive_001,10,-0.00034889461405661625,0.0005995396027695699,-1.8402481482250888,0.09887260092878172,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,constant_001_minus_adaptive_001,constant_001,adaptive_001,10,9.045321524366878e-05,0.00019225068561520644,1.4878395930819552,0.17096824349672338,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,128,constant_01_minus_adaptive_01,constant_01,adaptive_01,10,0.0001359639075239949,0.00034259779990951676,1.2549865395104223,0.24109128080851416,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,invscaling_001_minus_optimal_builtin,invscaling_001,optimal_builtin,10,-0.010274089376673668,0.026603113647435842,-1.2212676961427757,0.2530105236984266,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,-0.0063803856434875295,0.019042754552972958,-1.0595395181685885,0.31696031329092955,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,-0.00628993242824386,0.01903554003871955,-1.044914552534133,0.32331448616199143,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,constant_001_minus_adaptive_001,constant_001,adaptive_001,10,-6.166009494638081e-05,0.0001949863407728012,-1.0000000000000002,0.3434363961379133,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,constant_001_minus_optimal_builtin,constant_001,optimal_builtin,10,-0.007274188777218749,0.030435302826488275,-0.7558000916628483,0.46908778006458013,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,adaptive_001_minus_optimal_builtin,adaptive_001,optimal_builtin,10,-0.007212528682272368,0.030352686695807856,-0.7514332603849432,0.4715834541287274,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,16,constant_01_minus_adaptive_01,constant_01,adaptive_01,10,-0.00012829432890347768,0.0005743972178559577,-0.7063096366171822,0.4978712627917786,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,-0.0030615606944012995,0.01730322865483348,-0.5595201440310617,0.5894578805151168,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,constant_001_minus_invscaling_001,constant_001,invscaling_001,10,0.0029999005994549187,0.0174250679297988,0.5444178861511936,0.5993809881664394,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
ag_news,32,constant_01_minus_adaptive_01,constant_01,adaptive_01,10,-1.716172036064778e-05,0.00025711220690797593,-0.21107564498467138,0.8375301351380273,scipy.stats.ttest_1samp_on_seed_deltas,1.0,False
