dataset,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,power_t,n_iter,t_,final_learning_rate,final_learning_rate_note,test_log_loss,test_macro_f1,convergence_warning_count,max_iter,tol,alpha,class_weight
wine,4,12,166,52,adaptive_0003,adaptive,adaptive,0.0003,0.5,205,2461.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7477947325523716,0.8805191329943804,0,1000,0.001,0.0001,balanced
wine,4,12,166,88,adaptive_0003,adaptive,adaptive,0.0003,0.5,210,2521.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7764848191678579,0.8732376386064393,0,1000,0.001,0.0001,balanced
wine,4,12,166,121,adaptive_0003,adaptive,adaptive,0.0003,0.5,197,2365.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7618776428054942,0.8631531531531532,0,1000,0.001,0.0001,balanced
wine,4,12,166,169,adaptive_0003,adaptive,adaptive,0.0003,0.5,203,2437.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7509754900911404,0.8868856759823035,0,1000,0.001,0.0001,balanced
wine,4,12,166,203,adaptive_0003,adaptive,adaptive,0.0003,0.5,196,2353.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7424154030967667,0.9244844901668895,0,1000,0.001,0.0001,balanced
wine,4,12,166,247,adaptive_0003,adaptive,adaptive,0.0003,0.5,194,2329.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7500846828989463,0.8734355948629241,0,1000,0.001,0.0001,balanced
wine,4,12,166,314,adaptive_0003,adaptive,adaptive,0.0003,0.5,204,2449.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7813086519254145,0.9036430380197245,0,1000,0.001,0.0001,balanced
wine,4,12,166,415,adaptive_0003,adaptive,adaptive,0.0003,0.5,194,2329.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7418647474966906,0.9223845450045746,0,1000,0.001,0.0001,balanced
wine,4,12,166,509,adaptive_0003,adaptive,adaptive,0.0003,0.5,197,2365.0,0.0003,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.7232137047875569,0.9056357929749534,0,1000,0.001,0.0001,balanced
wine,4,12,166,14,adaptive_001,adaptive,adaptive,0.001,0.5,187,2245.0,0.001,eta0 nominal terminal value recorded; sklearn adaptive schedule divides by 5 after n_iter_no_change without sufficient improvement,0.5364309302083228,0.9154015992361857,0,1000,0.001,0.0001,balanced
