dataset,train_per_class,comparison,left_schedule,right_schedule,n_pairs,mean_delta_macro_f1,std_delta_macro_f1,paired_t_statistic,p_value,p_value_method,holm_p,holm_significant_0_05
ag_news,16,ag_news|budget=16|invscaling_001_minus_adaptive_01,invscaling_001,adaptive_01,10,-0.04606048380831994,0.041481116511235656,-3.5113818338073135,0.0066042633485120725,scipy.stats.ttest_1samp_on_seed_deltas,0.23114921719792253,False
ag_news,16,ag_news|budget=16|invscaling_001_minus_constant_01,invscaling_001,constant_01,10,-0.04621268274538582,0.04170930754132116,-3.5037103916770835,0.006684394565926587,scipy.stats.ttest_1samp_on_seed_deltas,0.23114921719792253,False
ag_news,32,ag_news|budget=32|optimal_builtin_minus_invscaling_01,optimal_builtin,invscaling_01,10,0.03333447359003864,0.03154366626588014,3.341807520366585,0.008635308424836324,scipy.stats.ttest_1samp_on_seed_deltas,0.2849651780195987,False
ag_news,32,ag_news|budget=32|adaptive_001_minus_adaptive_01,adaptive_001,adaptive_01,10,-0.021618759178576398,0.021201201079635523,-3.2245587848623676,0.010413032401148268,scipy.stats.ttest_1samp_on_seed_deltas,0.32941969869396837,False
ag_news,32,ag_news|budget=32|adaptive_001_minus_constant_01,adaptive_001,constant_01,10,-0.02163366686422611,0.021168854909786577,-3.2317128972639773,0.010294365584186511,scipy.stats.ttest_1samp_on_seed_deltas,0.32941969869396837,False
ag_news,32,ag_news|budget=32|constant_001_minus_adaptive_01,constant_001,adaptive_01,10,-0.021816607902446005,0.021434876883305747,-3.218594264205453,0.010513051677267416,scipy.stats.ttest_1samp_on_seed_deltas,0.32941969869396837,False
ag_news,32,ag_news|budget=32|constant_001_minus_constant_01,constant_001,constant_01,10,-0.021831515588095717,0.021402875218328454,-3.225609331812223,0.010395518230679425,scipy.stats.ttest_1samp_on_seed_deltas,0.32941969869396837,False
ag_news,32,ag_news|budget=32|invscaling_001_minus_adaptive_001,invscaling_001,adaptive_001,10,-0.018300532760937294,0.021228219111816955,-2.726152656247868,0.023371246981245344,scipy.stats.ttest_1samp_on_seed_deltas,0.6543949154748696,False
ag_news,32,ag_news|budget=32|constant_001_minus_invscaling_001,constant_001,invscaling_001,10,0.018102684037067683,0.021443289836191114,2.6696329600921995,0.025637871015878524,scipy.stats.ttest_1samp_on_seed_deltas,0.6922225174287201,False
ag_news,128,ag_news|budget=128|invscaling_001_minus_invscaling_01,invscaling_001,invscaling_01,10,-0.0004346944308278866,0.0005239642442554209,-2.6235081929303092,0.02765141684896659,scipy.stats.ttest_1samp_on_seed_deltas,0.7189368380731314,False
